event_id,event_type,date,location
EVNT_140,Annual Fundraiser,2025-02-12,Site_04
EVNT_141,Operational Support,2025-02-15,Site_01
EVNT_142,Operational Support,2025-02-19,Site_01
EVNT_143,Operational Support,2025-02-19,Site_02
EVNT_144,Mentorship Session,2025-02-19,Site_03
EVNT_145,Community Outreach,2025-02-19,Site_04
EVNT_146,Operational Support,2025-02-19,Site_05
EVNT_147,Mentorship Session,2025-02-22,Site_01
EVNT_148,Operational Support,2025-02-22,Site_03
EVNT_149,Mentorship Session,2025-02-22,Site_04
EVNT_150,Community Outreach,2025-02-22,Site_05
EVNT_151,Annual Fundraiser,2025-02-26,Site_03
EVNT_152,Community Outreach,2025-02-26,Site_04
EVNT_153,Mentorship Session,2025-02-26,Site_05
EVNT_154,Annual Fundraiser,2025-03-01,Site_01
EVNT_155,Mentorship Session,2025-03-01,Site_03
EVNT_156,Community Outreach,2025-03-05,Site_01
EVNT_157,Mentorship Session,2025-03-05,Site_04
EVNT_158,Annual Fundraiser,2025-03-08,Site_01
EVNT_159,Operational Support,2025-03-08,Site_03
EVNT_160,Mentorship Session,2025-03-08,Site_05
EVNT_161,Community Outreach,2025-03-12,Site_01
EVNT_162,Mentorship Session,2025-03-12,Site_02
EVNT_163,Mentorship Session,2025-03-12,Site_03
EVNT_164,Community Outreach,2025-03-15,Site_01
EVNT_165,Mentorship Session,2025-03-15,Site_03
EVNT_166,Mentorship Session,2025-03-15,Site_04
EVNT_167,Mentorship Session,2025-03-15,Site_05
EVNT_168,Mentorship Session,2025-03-19,Site_01
EVNT_169,Mentorship Session,2025-03-19,Site_02
EVNT_170,Operational Support,2025-03-19,Site_03
EVNT_171,Operational Support,2025-03-19,Site_05
EVNT_172,Community Outreach,2025-03-22,Site_01
EVNT_173,Annual Fundraiser,2025-03-22,Site_04
EVNT_174,Mentorship Session,2025-03-22,Site_05
EVNT_175,Operational Support,2025-03-26,Site_01
EVNT_176,Operational Support,2025-03-26,Site_02
EVNT_177,Community Outreach,2025-03-26,Site_03
EVNT_178,Community Outreach,2025-03-29,Site_01
EVNT_179,Mentorship Session,2025-03-29,Site_04
EVNT_180,Community Outreach,2025-04-02,Site_01
EVNT_181,Mentorship Session,2025-04-02,Site_02
EVNT_182,Mentorship Session,2025-04-02,Site_03
EVNT_183,Operational Support,2025-04-02,Site_04
EVNT_184,Operational Support,2025-04-02,Site_05
EVNT_185,Community Outreach,2025-04-05,Site_01
EVNT_186,Mentorship Session,2025-04-05,Site_03
EVNT_187,Mentorship Session,2025-04-05,Site_05
EVNT_188,Community Outreach,2025-04-09,Site_01
EVNT_189,Community Outreach,2025-04-09,Site_02
EVNT_190,Community Outreach,2025-04-09,Site_03
EVNT_191,Mentorship Session,2025-04-09,Site_05
EVNT_192,Mentorship Session,2025-04-12,Site_02
EVNT_193,Annual Fundraiser,2025-04-12,Site_03
EVNT_194,Mentorship Session,2025-04-12,Site_04
EVNT_195,Community Outreach,2025-04-16,Site_01
EVNT_196,Annual Fundraiser,2025-04-16,Site_02
EVNT_197,Mentorship Session,2025-04-16,Site_03
EVNT_198,Operational Support,2025-04-16,Site_04
EVNT_199,Mentorship Session,2025-04-16,Site_05
EVNT_200,Annual Fundraiser,2025-04-19,Site_01
EVNT_201,Community Outreach,2025-04-19,Site_02
EVNT_202,Annual Fundraiser,2025-04-19,Site_04
EVNT_203,Operational Support,2025-04-23,Site_01
EVNT_204,Community Outreach,2025-04-23,Site_02
EVNT_205,Mentorship Session,2025-04-23,Site_03
EVNT_206,Operational Support,2025-04-23,Site_05
EVNT_207,Annual Fundraiser,2025-04-26,Site_01
EVNT_208,Community Outreach,2025-04-26,Site_02
EVNT_209,Community Outreach,2025-04-26,Site_03
EVNT_210,Operational Support,2025-04-26,Site_04
EVNT_211,Mentorship Session,2025-04-26,Site_05
EVNT_212,Mentorship Session,2025-04-30,Site_01
EVNT_213,Mentorship Session,2025-04-30,Site_02
EVNT_214,Community Outreach,2025-04-30,Site_03
EVNT_215,Mentorship Session,2025-04-30,Site_05
EVNT_216,Mentorship Session,2025-05-03,Site_02
EVNT_217,Operational Support,2025-05-03,Site_04
EVNT_218,Mentorship Session,2025-05-07,Site_01
EVNT_219,Community Outreach,2025-05-07,Site_03
EVNT_220,Operational Support,2025-05-07,Site_04
EVNT_221,Community Outreach,2025-05-07,Site_05
EVNT_222,Operational Support,2025-05-10,Site_01
EVNT_223,Mentorship Session,2025-05-10,Site_03
EVNT_224,Operational Support,2025-05-10,Site_05
EVNT_225,Community Outreach,2025-05-14,Site_01
EVNT_226,Operational Support,2025-05-14,Site_05
EVNT_227,Mentorship Session,2025-05-17,Site_01
EVNT_228,Operational Support,2025-05-17,Site_02
EVNT_229,Community Outreach,2025-05-17,Site_03
EVNT_230,Mentorship Session,2025-05-17,Site_04
EVNT_231,Operational Support,2025-05-17,Site_05
EVNT_232,Operational Support,2025-05-21,Site_05
EVNT_233,Mentorship Session,2025-05-24,Site_01
EVNT_234,Community Outreach,2025-05-24,Site_02
EVNT_235,Mentorship Session,2025-05-24,Site_04
EVNT_236,Community Outreach,2025-05-24,Site_05
EVNT_237,Community Outreach,2025-05-28,Site_02
EVNT_238,Operational Support,2025-05-28,Site_03
EVNT_239,Mentorship Session,2025-05-28,Site_04
EVNT_240,Mentorship Session,2025-05-31,Site_01
EVNT_241,Annual Fundraiser,2025-05-31,Site_02
EVNT_242,Mentorship Session,2025-05-31,Site_03
EVNT_243,Community Outreach,2025-05-31,Site_04
EVNT_244,Annual Fundraiser,2025-05-31,Site_05
EVNT_245,Annual Fundraiser,2025-06-04,Site_01
EVNT_246,Mentorship Session,2025-06-04,Site_02
EVNT_247,Mentorship Session,2025-06-07,Site_02
EVNT_248,Operational Support,2025-06-07,Site_03
EVNT_249,Mentorship Session,2025-06-07,Site_05
EVNT_250,Community Outreach,2025-06-11,Site_02
EVNT_251,Operational Support,2025-06-11,Site_03
EVNT_252,Mentorship Session,2025-06-11,Site_04
EVNT_253,Operational Support,2025-06-14,Site_01
EVNT_254,Community Outreach,2025-06-14,Site_02
EVNT_255,Operational Support,2025-06-14,Site_03
EVNT_256,Annual Fundraiser,2025-06-14,Site_04
EVNT_257,Community Outreach,2025-06-14,Site_05
EVNT_258,Operational Support,2025-06-18,Site_01
EVNT_259,Community Outreach,2025-06-18,Site_03
EVNT_260,Mentorship Session,2025-06-18,Site_04
EVNT_261,Mentorship Session,2025-06-18,Site_05
EVNT_262,Mentorship Session,2025-06-21,Site_02
EVNT_263,Annual Fundraiser,2025-06-21,Site_03
EVNT_264,Community Outreach,2025-06-21,Site_04
EVNT_265,Community Outreach,2025-06-21,Site_05
EVNT_266,Community Outreach,2025-06-25,Site_02
EVNT_267,Operational Support,2025-06-25,Site_03
EVNT_268,Mentorship Session,2025-06-25,Site_04
EVNT_269,Mentorship Session,2025-06-25,Site_05
EVNT_270,Community Outreach,2025-06-28,Site_01
EVNT_271,Mentorship Session,2025-06-28,Site_02
EVNT_272,Community Outreach,2025-06-28,Site_05
EVNT_273,Mentorship Session,2025-07-02,Site_03
EVNT_274,Operational Support,2025-07-02,Site_04
EVNT_275,Mentorship Session,2025-07-05,Site_02
EVNT_276,Operational Support,2025-07-05,Site_03
EVNT_277,Annual Fundraiser,2025-07-05,Site_04
EVNT_278,Mentorship Session,2025-07-05,Site_05
EVNT_279,Community Outreach,2025-07-09,Site_02
EVNT_280,Annual Fundraiser,2025-07-09,Site_03
EVNT_281,Mentorship Session,2025-07-09,Site_05
EVNT_282,Mentorship Session,2025-07-12,Site_01
EVNT_283,Operational Support,2025-07-12,Site_04
EVNT_284,Annual Fundraiser,2025-07-12,Site_05
EVNT_285,Mentorship Session,2025-07-16,Site_01
EVNT_286,Mentorship Session,2025-07-16,Site_02
EVNT_287,Mentorship Session,2025-07-16,Site_03
EVNT_288,Mentorship Session,2025-07-16,Site_04
EVNT_289,Community Outreach,2025-07-16,Site_05
EVNT_290,Mentorship Session,2025-07-19,Site_01
EVNT_291,Annual Fundraiser,2025-07-19,Site_02
EVNT_292,Community Outreach,2025-07-19,Site_03
EVNT_293,Community Outreach,2025-07-19,Site_04
EVNT_294,Community Outreach,2025-07-19,Site_05
EVNT_295,Mentorship Session,2025-07-23,Site_01
EVNT_296,Operational Support,2025-07-23,Site_03
EVNT_297,Community Outreach,2025-07-23,Site_04
EVNT_298,Mentorship Session,2025-07-26,Site_02
EVNT_299,Mentorship Session,2025-07-26,Site_03
EVNT_300,Annual Fundraiser,2025-07-26,Site_04
EVNT_301,Community Outreach,2025-07-26,Site_05
EVNT_302,Operational Support,2025-07-30,Site_01
EVNT_303,Mentorship Session,2025-07-30,Site_02
EVNT_304,Operational Support,2025-07-30,Site_03
EVNT_305,Operational Support,2025-07-30,Site_04
EVNT_306,Community Outreach,2025-07-30,Site_05
EVNT_307,Operational Support,2025-08-02,Site_01
EVNT_308,Operational Support,2025-08-02,Site_04
EVNT_309,Mentorship Session,2025-08-02,Site_05
EVNT_310,Mentorship Session,2025-08-06,Site_01
EVNT_311,Operational Support,2025-08-06,Site_02
EVNT_312,Community Outreach,2025-08-06,Site_03
EVNT_313,Mentorship Session,2025-08-06,Site_04
EVNT_314,Operational Support,2025-08-09,Site_01
EVNT_315,Annual Fundraiser,2025-08-09,Site_02
EVNT_316,Operational Support,2025-08-09,Site_03
EVNT_317,Operational Support,2025-08-09,Site_04
EVNT_318,Mentorship Session,2025-08-13,Site_01
EVNT_319,Community Outreach,2025-08-13,Site_02
EVNT_320,Community Outreach,2025-08-13,Site_04
EVNT_321,Mentorship Session,2025-08-13,Site_05
EVNT_322,Community Outreach,2025-08-16,Site_01
EVNT_323,Community Outreach,2025-08-16,Site_02
EVNT_324,Community Outreach,2025-08-16,Site_03
EVNT_325,Operational Support,2025-08-16,Site_04
EVNT_326,Mentorship Session,2025-08-16,Site_05
EVNT_327,Community Outreach,2025-08-20,Site_02
EVNT_328,Mentorship Session,2025-08-20,Site_03
EVNT_329,Community Outreach,2025-08-23,Site_01
EVNT_330,Community Outreach,2025-08-23,Site_02
EVNT_331,Mentorship Session,2025-08-23,Site_03
EVNT_332,Operational Support,2025-08-23,Site_04
EVNT_333,Community Outreach,2025-08-23,Site_05
EVNT_334,Annual Fundraiser,2025-08-27,Site_01
EVNT_335,Community Outreach,2025-08-27,Site_03
EVNT_336,Annual Fundraiser,2025-08-27,Site_05
EVNT_337,Mentorship Session,2025-08-30,Site_01
EVNT_338,Mentorship Session,2025-08-30,Site_02
EVNT_339,Mentorship Session,2025-09-03,Site_03
EVNT_340,Operational Support,2025-09-03,Site_04
EVNT_341,Community Outreach,2025-09-03,Site_05
EVNT_342,Mentorship Session,2025-09-10,Site_04
EVNT_343,Community Outreach,2025-09-10,Site_05
EVNT_344,Mentorship Session,2025-09-13,Site_01
EVNT_345,Community Outreach,2025-09-13,Site_02
EVNT_346,Annual Fundraiser,2025-09-13,Site_04
EVNT_347,Operational Support,2025-09-17,Site_02
EVNT_348,Community Outreach,2025-09-17,Site_05
EVNT_349,Mentorship Session,2025-09-20,Site_01
EVNT_350,Operational Support,2025-09-20,Site_02
EVNT_351,Operational Support,2025-09-20,Site_05
EVNT_352,Community Outreach,2025-09-24,Site_01
EVNT_353,Community Outreach,2025-09-24,Site_03
EVNT_354,Mentorship Session,2025-09-27,Site_01
EVNT_355,Mentorship Session,2025-09-27,Site_02
EVNT_356,Mentorship Session,2025-09-27,Site_03
EVNT_357,Community Outreach,2025-09-27,Site_04
EVNT_358,Operational Support,2025-09-27,Site_05
EVNT_359,Mentorship Session,2025-10-01,Site_01
EVNT_360,Community Outreach,2025-10-01,Site_02
EVNT_361,Community Outreach,2025-10-01,Site_03
EVNT_362,Community Outreach,2025-10-04,Site_01
EVNT_363,Mentorship Session,2025-10-04,Site_02
EVNT_364,Community Outreach,2025-10-04,Site_03
EVNT_365,Mentorship Session,2025-10-11,Site_02
EVNT_366,Community Outreach,2025-10-11,Site_03
EVNT_367,Mentorship Session,2025-10-11,Site_04
EVNT_368,Annual Fundraiser,2025-10-11,Site_05
EVNT_369,Operational Support,2025-10-15,Site_01
EVNT_370,Annual Fundraiser,2025-10-15,Site_04
EVNT_371,Community Outreach,2025-10-15,Site_05
EVNT_372,Mentorship Session,2025-10-18,Site_02
EVNT_373,Community Outreach,2025-10-18,Site_03
EVNT_374,Mentorship Session,2025-10-18,Site_04
EVNT_375,Mentorship Session,2025-10-22,Site_01
EVNT_376,Mentorship Session,2025-10-22,Site_02
EVNT_377,Community Outreach,2025-10-22,Site_03
EVNT_378,Mentorship Session,2025-10-22,Site_05
EVNT_379,Mentorship Session,2025-10-25,Site_02
EVNT_380,Mentorship Session,2025-10-25,Site_03
EVNT_381,Operational Support,2025-10-25,Site_04
EVNT_382,Community Outreach,2025-10-25,Site_05
EVNT_383,Mentorship Session,2025-10-29,Site_01
EVNT_384,Operational Support,2025-10-29,Site_02
EVNT_385,Mentorship Session,2025-10-29,Site_03
EVNT_386,Annual Fundraiser,2025-10-29,Site_04
EVNT_387,Community Outreach,2025-11-01,Site_02
EVNT_388,Mentorship Session,2025-11-01,Site_03
EVNT_389,Mentorship Session,2025-11-01,Site_04
EVNT_390,Community Outreach,2025-11-05,Site_02
EVNT_391,Mentorship Session,2025-11-05,Site_03
EVNT_392,Mentorship Session,2025-11-05,Site_04
EVNT_393,Community Outreach,2025-11-05,Site_05
EVNT_394,Community Outreach,2025-11-08,Site_01
EVNT_395,Operational Support,2025-11-08,Site_02
EVNT_396,Mentorship Session,2025-11-08,Site_03
EVNT_397,Mentorship Session,2025-11-08,Site_04
EVNT_398,Annual Fundraiser,2025-11-08,Site_05
EVNT_399,Mentorship Session,2025-11-12,Site_01
EVNT_400,Community Outreach,2025-11-12,Site_02
EVNT_401,Mentorship Session,2025-11-12,Site_03
EVNT_402,Community Outreach,2025-11-12,Site_04
EVNT_403,Operational Support,2025-11-12,Site_05
EVNT_404,Mentorship Session,2025-11-15,Site_01
EVNT_405,Mentorship Session,2025-11-15,Site_02
EVNT_406,Mentorship Session,2025-11-15,Site_03
EVNT_407,Operational Support,2025-11-15,Site_04
EVNT_408,Mentorship Session,2025-11-15,Site_05
EVNT_409,Mentorship Session,2025-11-19,Site_01
EVNT_410,Mentorship Session,2025-11-19,Site_02
EVNT_411,Operational Support,2025-11-19,Site_03
EVNT_412,Operational Support,2025-11-22,Site_01
EVNT_413,Community Outreach,2025-11-22,Site_02
EVNT_414,Mentorship Session,2025-11-22,Site_03
EVNT_415,Mentorship Session,2025-11-22,Site_04
EVNT_416,Community Outreach,2025-11-22,Site_05
EVNT_417,Community Outreach,2025-11-26,Site_01
EVNT_418,Mentorship Session,2025-11-26,Site_02
EVNT_419,Community Outreach,2025-11-26,Site_03
EVNT_420,Mentorship Session,2025-11-26,Site_04
EVNT_421,Annual Fundraiser,2025-11-26,Site_05
EVNT_422,Community Outreach,2025-11-29,Site_01
EVNT_423,Operational Support,2025-11-29,Site_02
EVNT_424,Community Outreach,2025-11-29,Site_04
EVNT_425,Operational Support,2025-11-29,Site_05
EVNT_426,Annual Fundraiser,2025-12-03,Site_01
EVNT_427,Mentorship Session,2025-12-03,Site_02
EVNT_428,Operational Support,2025-12-03,Site_03
EVNT_429,Operational Support,2025-12-03,Site_05
EVNT_430,Community Outreach,2025-12-06,Site_01
EVNT_431,Mentorship Session,2025-12-06,Site_02
EVNT_432,Operational Support,2025-12-06,Site_03
EVNT_433,Mentorship Session,2025-12-06,Site_05
EVNT_434,Annual Fundraiser,2025-12-10,Site_01
EVNT_435,Mentorship Session,2025-12-10,Site_02
EVNT_436,Community Outreach,2025-12-10,Site_03
EVNT_437,Mentorship Session,2025-12-10,Site_05
EVNT_438,Community Outreach,2025-12-13,Site_02
EVNT_439,Mentorship Session,2025-12-13,Site_03
EVNT_440,Community Outreach,2025-12-13,Site_04
EVNT_441,Mentorship Session,2025-12-17,Site_01
EVNT_442,Mentorship Session,2025-12-17,Site_02
EVNT_443,Mentorship Session,2025-12-17,Site_03
EVNT_444,Community Outreach,2025-12-17,Site_04
EVNT_445,Mentorship Session,2025-12-17,Site_05
EVNT_446,Mentorship Session,2025-12-20,Site_01
EVNT_447,Mentorship Session,2025-12-20,Site_02
EVNT_448,Community Outreach,2025-12-20,Site_05
EVNT_449,Community Outreach,2025-12-24,Site_02
EVNT_450,Community Outreach,2025-12-24,Site_03
EVNT_451,Community Outreach,2025-12-24,Site_04
EVNT_452,Annual Fundraiser,2025-12-27,Site_02
EVNT_453,Mentorship Session,2025-12-27,Site_03
EVNT_454,Community Outreach,2025-12-27,Site_04
EVNT_455,Community Outreach,2025-12-31,Site_02
EVNT_456,Mentorship Session,2026-01-03,Site_01
EVNT_457,Mentorship Session,2026-01-03,Site_03
EVNT_458,Mentorship Session,2026-01-03,Site_04
EVNT_459,Operational Support,2026-01-07,Site_02
EVNT_460,Mentorship Session,2026-01-07,Site_03
EVNT_461,Mentorship Session,2026-01-07,Site_04
EVNT_462,Mentorship Session,2026-01-10,Site_01
EVNT_463,Community Outreach,2026-01-14,Site_01
EVNT_464,Operational Support,2026-01-14,Site_02
EVNT_465,Mentorship Session,2026-01-14,Site_03
EVNT_466,Community Outreach,2026-01-14,Site_04
EVNT_467,Community Outreach,2026-01-17,Site_01
EVNT_468,Community Outreach,2026-01-17,Site_02
EVNT_469,Operational Support,2026-01-17,Site_04
EVNT_470,Community Outreach,2026-01-21,Site_01
EVNT_471,Operational Support,2026-01-21,Site_02
EVNT_472,Mentorship Session,2026-01-21,Site_03
EVNT_473,Community Outreach,2026-01-21,Site_05
EVNT_474,Annual Fundraiser,2026-01-24,Site_03
EVNT_475,Mentorship Session,2026-01-24,Site_04
EVNT_476,Mentorship Session,2026-01-28,Site_02
EVNT_477,Mentorship Session,2026-01-28,Site_03
EVNT_478,Community Outreach,2026-01-28,Site_04
EVNT_479,Mentorship Session,2026-01-28,Site_05
EVNT_480,Operational Support,2026-01-31,Site_03
EVNT_481,Community Outreach,2026-01-31,Site_04
EVNT_482,Mentorship Session,2026-01-31,Site_05
EVNT_483,Community Outreach,2026-02-04,Site_01
EVNT_484,Community Outreach,2026-02-04,Site_02
EVNT_485,Mentorship Session,2026-02-04,Site_05
EVNT_486,Mentorship Session,2026-02-07,Site_01
EVNT_487,Mentorship Session,2026-02-07,Site_02
EVNT_488,Operational Support,2026-02-07,Site_03
EVNT_489,Community Outreach,2026-02-07,Site_05
EVNT_490,Annual Fundraiser,2026-02-11,Site_01
EVNT_491,Mentorship Session,2026-02-11,Site_02
EVNT_492,Mentorship Session,2026-02-11,Site_05
EVNT_493,Community Outreach,2026-02-14,Site_01
EVNT_494,Operational Support,2026-02-14,Site_02
EVNT_495,Community Outreach,2026-02-14,Site_05
EVNT_496,Community Outreach,2026-02-18,Site_01
EVNT_497,Operational Support,2026-02-18,Site_03
EVNT_498,Mentorship Session,2026-02-18,Site_04
EVNT_499,Mentorship Session,2026-02-18,Site_05
EVNT_500,Mentorship Session,2026-02-21,Site_02
EVNT_501,Community Outreach,2026-02-21,Site_03
EVNT_502,Operational Support,2026-02-21,Site_05
EVNT_503,Operational Support,2026-02-25,Site_01
EVNT_504,Community Outreach,2026-02-25,Site_02
EVNT_505,Mentorship Session,2026-02-25,Site_03
EVNT_506,Mentorship Session,2026-02-25,Site_04
EVNT_507,Annual Fundraiser,2026-02-25,Site_05
EVNT_508,Annual Fundraiser,2026-02-28,Site_02
EVNT_509,Annual Fundraiser,2026-02-28,Site_04
EVNT_510,Mentorship Session,2026-03-04,Site_01
EVNT_511,Annual Fundraiser,2026-03-04,Site_02
EVNT_512,Community Outreach,2026-03-04,Site_03
EVNT_513,Operational Support,2026-03-04,Site_04
EVNT_514,Operational Support,2026-03-04,Site_05
EVNT_515,Mentorship Session,2026-03-07,Site_02
EVNT_516,Mentorship Session,2026-03-07,Site_05
EVNT_517,Mentorship Session,2026-03-11,Site_01
EVNT_518,Community Outreach,2026-03-11,Site_02
EVNT_519,Mentorship Session,2026-03-11,Site_03
EVNT_520,Operational Support,2026-03-11,Site_04
EVNT_521,Mentorship Session,2026-03-11,Site_05
EVNT_522,Mentorship Session,2026-03-14,Site_02
EVNT_523,Community Outreach,2026-03-14,Site_03
EVNT_524,Operational Support,2026-03-14,Site_04
EVNT_525,Mentorship Session,2026-03-14,Site_05
EVNT_526,Community Outreach,2026-03-18,Site_01
EVNT_527,Community Outreach,2026-03-18,Site_02
EVNT_528,Annual Fundraiser,2026-03-18,Site_03
EVNT_529,Community Outreach,2026-03-18,Site_04
EVNT_530,Operational Support,2026-03-18,Site_05
EVNT_531,Mentorship Session,2026-03-21,Site_03
EVNT_532,Community Outreach,2026-03-25,Site_03
EVNT_533,Community Outreach,2026-03-25,Site_04
EVNT_534,Operational Support,2026-03-28,Site_01
EVNT_535,Operational Support,2026-03-28,Site_03
EVNT_536,Community Outreach,2026-03-28,Site_04
EVNT_537,Mentorship Session,2026-03-28,Site_05
EVNT_538,Mentorship Session,2026-04-01,Site_01
EVNT_539,Community Outreach,2026-04-01,Site_02
EVNT_540,Community Outreach,2026-04-01,Site_03
EVNT_541,Mentorship Session,2026-04-04,Site_03
EVNT_542,Operational Support,2026-04-04,Site_05
EVNT_543,Annual Fundraiser,2026-04-08,Site_01
EVNT_544,Operational Support,2026-04-08,Site_03
EVNT_545,Mentorship Session,2026-04-08,Site_04
EVNT_546,Mentorship Session,2026-04-08,Site_05
EVNT_547,Community Outreach,2026-04-11,Site_02
EVNT_548,Mentorship Session,2026-04-11,Site_03
EVNT_549,Mentorship Session,2026-04-11,Site_04
EVNT_550,Annual Fundraiser,2026-04-15,Site_01
EVNT_551,Operational Support,2026-04-15,Site_02
EVNT_552,Community Outreach,2026-04-15,Site_03
EVNT_553,Mentorship Session,2026-04-15,Site_05
EVNT_554,Community Outreach,2026-04-18,Site_02
EVNT_555,Mentorship Session,2026-04-18,Site_05
EVNT_556,Community Outreach,2026-04-22,Site_01
EVNT_557,Community Outreach,2026-04-22,Site_02
EVNT_558,Mentorship Session,2026-04-22,Site_03
EVNT_559,Community Outreach,2026-04-22,Site_04
EVNT_560,Operational Support,2026-04-25,Site_01
EVNT_561,Operational Support,2026-04-25,Site_02
EVNT_562,Operational Support,2026-04-25,Site_03
EVNT_563,Community Outreach,2026-04-25,Site_04
EVNT_564,Community Outreach,2026-04-25,Site_05
EVNT_565,Mentorship Session,2026-04-29,Site_01
EVNT_566,Operational Support,2026-04-29,Site_02
EVNT_567,Mentorship Session,2026-04-29,Site_04
EVNT_568,Operational Support,2026-04-29,Site_05
